N0000171648	C0032046	M0016938	D010923	Placenta Previa
N0000003641	C0152244	M0026931	D017824	Bone Cysts, Aneurysmal
N0000000970	C0020498	M0006363	D004057	Hyperostosis, Diffuse Idiopathic Skeletal
N0000011057	C0152026	M0397081	D031300	Retinal Vasculitis
N0000003704	C0086533	M0027459	D018230	Leiomyoma, Epithelioid
N0000001637	C0020620	M0010908	D007007	Hypohidrosis
N0000001312	C0017107	M0008994	D005739	Gas Poisoning
N0000002332	C0030581	M0015975	D010307	Parotid Neoplasms
N0000001339	C0017570	M0009240	D005887	Gingival Neoplasms
N0000181097	C0268243	M0335784	D052537	Niemann-Pick Disease, Type B
N0000000876	C0010356	M0005342	D003428	Cross Infection
N0000003090	C0042131	M0022426	D014591	Uterine Diseases
N0000003979	C0525047	M0029661	D019968	Sexual and Gender Disorders
N0000011095	C0006023	M0002826	D001890	Borna Disease
N0000000774	C0008495	M0004338	D002821	Chorioamnionitis
N0000000415	C0002994	M0001197	D000799	Angioedema
N0000001877	C0024106	M0012738	D008166	Lumpy Skin Disease
N0000003885	C0282577	M0028352	D018981	Congenital Disorders of Glycosylation
N0000000916	C0011311	M0005831	D003715	Dengue
N0000000929	C0011406	M0005931	D003789	Dental Pulp Exposure
N0000000300	C0001261	M0000290	D000196	Actinomycosis
N0000002922	C0039753	M0021278	D013801	Theileriasis
N0000001127	C0014547	M0007566	D004828	Epilepsies, Partial
N0000181282	C2697932	M0523270	D055947	Loeys-Dietz Syndrome
N0000001261	C0016204	M0008543	D005414	Flatulence
N0000002488	C0033027	M0017531	D011289	Preleukemia
N0000002384	C0031315	M0016456	D010591	Phantom Limb
N0000001052	C0013581	M0007038	D004479	Ectopia Lentis
N0000181220	C1384583	M0504120	D054331	Sertoli Cell-Only Syndrome
N0000002221	C0029076	M0015322	D009878	Ophthalmia Neonatorum
N0000002830	C0038358	M0020546	D013276	Stomach Ulcer
N0000183421	C1135120	M0549735	D059390	Breakthrough Pain
N0000002071	C0026918	M0014287	D009164	Mycobacterium Infections
N0000003012	C0040948	M0021936	D014253	Trichostrongylosis
N0000003100	C0042165	M0022446	D014606	Uveitis, Anterior
N0000001522	C0019310	M0010268	D006553	Hernia, Obturator
N0000001963	C0025064	M0013200	D008480	Mediastinitis
N0000181099	C0268263	M0336078	D052517	Multiple Sulfatase Deficiency Disease
N0000000679	C0007135	M0003443	D002293	Adenocarcinoma, Scirrhous
N0000182172	C0221355	M0543765	D058627	Macrocephaly
N0000004213	C0752252	M0328296	D020879	Neuromuscular Manifestations
N0000001055	C0013592	M0007046	D004483	Ectropion
N0000003912	C0238052	M0028726	D019294	Xanthomatosis, Cerebrotendinous
N0000000435	C0003469	M0001533	D001008	Anxiety Disorders
N0000002731	C0036983	M0019786	D012772	Shock, Septic
N0000003728	C0206677	M0027485	D018256	Adenomatous Polyps
N0000004177	C0752132	M0328606	D020762	Infarction, Posterior Cerebral Artery
N0000002285	C0030286	M0015794	D010182	Pancreatic Diseases
N0000000693	C0007286	M0003553	D002349	Carpal Tunnel Syndrome
N0000001062	C0013882	M0007229	D004604	Elephantiasis
N0000002996	C0040584	M0021747	D014136	Tracheitis
N0000001761	C0022739	M0012064	D007715	Klippel-Trenaunay-Weber Syndrome
N0000003445	C0085178	M0025319	D016602	Needlestick Injuries
N0000182168	C0175713	M0543078	D058540	Aicardi Syndrome
N0000011009	C1258666	M0450086	D045888	Ganglion Cysts
N0000002565	C0034362	M0018308	D011778	Q Fever
N0000003334	C0009197	M0024249	D015834	Cochlear Diseases
N0000003565	C0162679	M0026176	D017254	Leukemic Infiltration
N0000000771	C0008487	M0004333	D002817	Chordoma
N0000181253	C1861922	M0513026	D055036	Campomelic Dysplasia
N0000003079	C0042024	M0022370	D014549	Urinary Incontinence
N0000003264	C0023481	M0023824	D015467	Leukemia, Neutrophilic, Chronic
N0000003470	C0085298	M0025533	D016757	Death, Sudden, Cardiac
N0000002663	C0036094	M0019376	D012467	Salivary Gland Fistula
N0000000798	C0009088	M0004652	D003027	Cluster Headache
N0000002486	C0032987	M0017499	D011271	Pregnancy, Ectopic
N0000001696	C0021818	M0011560	D007405	Intervertebral Disc Displacement
N0000000672	C0007124	M0003436	D002285	Carcinoma, Intraductal, Noninfiltrating
N0000001813	C0023374	M0012368	D007926	Lesch-Nyhan Syndrome
N0000003877	C0282529	M0028265	D018902	Chondrodysplasia Punctata, Rhizomelic
N0000000686	C0007193	M0003463	D002311	Cardiomyopathy, Dilated
N0000000838	C0009774	M0005023	D003236	Conjunctivitis, Viral
N0000000573	C0456909	M0002662	D001766	Blindness
N0000002506	C0033687	M0017891	D011507	Proteinuria
N0000002529	C0033931	M0018036	D011602	Psychophysiologic Disorders
N0000001984	C0025293	M0013368	D008584	Meningitis, Listeria
N0000001471	C0019034	M0010124	D006450	Hemoglobin SC Disease
N0000000295	C0001206	M0000261	D000172	Acromegaly
N0000171670	C0349489	M0483549	D005311	Fetal Hypoxia
N0000002684	C0036310	M0019473	D012544	Scheuermann Disease
N0000000895	C0010701	M0005559	D003557	Phyllodes Tumor
N0000181058	C0158329	M0495575	D053682	Tendon Entrapment
N0000002270	C0029897	M0015573	D010039	Otorhinolaryngologic Neoplasms
N0000002814	C0038048	M0020394	D013180	Sprains and Strains
N0000000851	C0010034	M0005177	D003316	Corneal Diseases
N0000002408	C0032019	M0016922	D010911	Pituitary Neoplasms
N0000010951	C0917796	M0333667	D029242	Optic Atrophy, Hereditary, Leber
N0000002240	C0029396	M0015505	D009999	Ossification, Heterotopic
N0000002550	C0034103	M0018151	D011671	Pulpitis
N0000001838	C0023530	M0012421	D007970	Leukopenia
N0000002755	C0037198	M0019900	D012851	Sinus Thrombosis, Intracranial
N0000002878	C0039101	M0020963	D013584	Sarcoma, Synovial
N0000011010	C0006144	M0008439	D047688	Breast Cyst
N0000181229	C1619692	M0511860	D054989	Nephrogenic Fibrosing Dermopathy
N0000004102	C0151699	M0328611	D020300	Intracranial Hemorrhages
N0000000878	C0010392	M0005369	D003444	Crush Syndrome
N0000011080	C0027773	M0015793	D046768	Nesidioblastosis
N0000000440	C0003493	M0001550	D001018	Aortic Diseases
N0000000548	C0005411	M0002487	D001656	Biliary Atresia
N0000000284	C0001125	M0000214	D000140	Acidosis, Lactic
N0000004093	C0018378	M0017242	D020275	Guillain-Barre Syndrome
N0000002220	C0014236	M0015321	D009877	Endophthalmitis
N0000001148	C0014752	M0007683	D004894	Erythrasma
N0000000831	C0009759	M0005013	D003229	Conjunctival Diseases
N0000189376	C1704375	M0491403	D063730	Rickets, Hypophosphatemic
N0000004129	C0684219	M0008238	D020385	Myokymia
N0000001238	C0015951	M0008411	D005327	Fetal Resorption
N0000003964	C0524988	M0029510	D019873	Schnitzler Syndrome
N0000003924	C0376620	M0028936	D019449	Pouchitis
N0000001718	C0022361	M0011827	D007570	Jaw Cysts
N0000001585	C0020455	M0010823	D006942	Hypergammaglobulinemia
N0000004016	C0268553	M0328333	D020167	Hyperlysinemias
N0000000697	C0007384	M0003627	D002385	Cataplexy
N0000003454	C0085222	M0025386	D016659	Psoas Abscess
N0000181244	C1721093	M0496784	D053836	DNA Degradation, Necrotic
N0000000277	C0031157	M0000060	D000039	Peritonsillar Abscess
N0000003084	C0042065	M0022391	D014565	Urogenital Neoplasms
N0000003522	C0002312	M0025958	D017085	alpha-Thalassemia
N0000002247	C0029420	M0015518	D010007	Osteochondritis
N0000181301	C2717990	M0534637	D057108	Corneal Wavefront Aberration
N0000182183	C0277355	M0541655	D058267	Flea Infestations
N0000002596	C0035220	M0018890	D012127	Respiratory Distress Syndrome, Newborn
N0000000400	C0002896	M0001141	D000756	Anemia, Sideroblastic
N0000003579	C0162820	M0026474	D017449	Dermatitis, Allergic Contact
N0000000351	C0001957	M0000652	D000430	Alcohol Withdrawal Delirium
N0000181194	C1135196	M0502060	D054144	Heart Failure, Diastolic
N0000000498	C0004096	M0001885	D001249	Asthma
N0000011152	C0474820	M0443252	D043604	Glomus Tympanicum Tumor
N0000003060	C0041472	M0022190	D014437	Typhus, Endemic Flea-Borne
N0000001295	C0016781	M0008872	D005642	Fuchs' Endothelial Dystrophy
N0000002202	C0028756	M0015161	D009767	Obesity, Morbid
N0000181126	C0339277	M0494580	D053559	Corneal Dystrophy, Juvenile Epithelial of Meesmann
N0000003528	C0162533	M0025973	D017094	Porphyrias, Hepatic
N0000003144	C0042979	M0022854	D014843	Voyeurism
N0000000711	C0007758	M0003856	D002524	Cerebellar Ataxia
N0000181028	C0028734	M0022376	D053158	Nocturia
N0000010977	C1136249	M0417776	D038901	Mental Retardation, X-Linked
N0000002802	C0037952	M0020336	D013132	Spinocerebellar Degenerations
N0000002411	C0032044	M0016936	D010921	Placenta Accreta
N0000001857	C0023817	M0012579	D008072	Hyperlipoproteinemia Type I
N0000001865	C0023893	M0012642	D008106	Liver Cirrhosis, Experimental
N0000000976	C0012517	M0006505	D004154	Dipetalonema Infections
N0000003211	C0036918	M0023402	D015229	Sexually Transmitted Diseases, Viral
N0000003070	C0041956	M0022327	D014517	Ureteral Obstruction
N0000003717	C0206664	M0027472	D018243	Teratocarcinoma
N0000003936	C0524799	M0029058	D019568	Lung, Hyperlucent
N0000001664	C0020941	M0011062	D007102	Immersion Foot
N0000182163	C0151827	M0542422	D058447	Eye Pain
N0000001971	C0025209	M0013316	D008548	Melanosis
N0000003502	C0014170	M0025700	D016889	Endometrial Neoplasms
N0000003205	C0043459	M0023373	D015211	Zellweger Syndrome
N0000181120	C0311277	M0525824	D056128	Obesity, Abdominal
N0000003731	C0206682	M0027492	D018263	Adenocarcinoma, Follicular
N0000001322	C0017205	M0009048	D005776	Gaucher Disease
N0000003509	C0085434	M0025744	D016917	Angiomatosis, Bacillary
N0000185629	C3494405	M0571433	D063130	Maternal Death
N0000002307	C0030455	M0015884	D010249	Parametritis
N0000002043	C0026697	M0014165	D009081	Mucolipidoses
N0000181075	C0242488	M0018893	D055371	Acute Lung Injury
N0000002450	C0032372	M0017113	D011052	Poliomyelitis, Bulbar
N0000001481	C0019080	M0010152	D006470	Hemorrhage
N0000003505	C0007282	M0025703	D016893	Carotid Stenosis
N0000181219	C1367970	M0526848	D056267	Pagetoid Reticulosis
N0000004011	C0751748	M0328332	D020158	Hyperglycinemia, Nonketotic
N0000002255	C0029442	M0015543	D010018	Osteomalacia
N0000001549	C0019825	M0010479	D006685	Hoarseness
N0000011021	C0312416	M0463073	D048968	Morning Sickness
N0000171620	C0334463	M0481499	D051677	Histiocytoma, Malignant Fibrous
N0000002395	C0031707	M0016725	D010760	Phosphorus Metabolism Disorders
N0000001298	C0016867	M0008903	D005667	Furunculosis
N0000171659	C0237873	M0019736	D012735	Sexual Dysfunction, Physiological
N0000002616	C0035344	M0018966	D012178	Retinopathy of Prematurity
N0000001245	C0016045	M0008445	D005350	Fibroma
N0000001489	C0019101	M0010172	D006480	Hemorrhagic Fever with Renal Syndrome
N0000001856	C0023804	M0012574	D008069	Lipomatosis, Multiple Symmetrical
N0000001496	C0019151	M0010200	D006501	Hepatic Encephalopathy
N0000001113	C0014390	M0007496	D004774	Entropion
N0000001272	C0016506	M0008717	D005530	Foot Deformities
N0000002978	C0040444	M0021685	D014085	Tooth Migration
N0000004060	C0270639	M0328618	D020227	Lateral Sinus Thrombosis
N0000001397	C0018477	M0009736	D006188	Haemonchiasis
N0000004023	C0393777	M0328316	D020183	Nocturnal Paroxysmal Dystonia
N0000004184	C0266494	M0333262	D020779	Sinus Pericranii
N0000000374	C0002694	M0001035	D000673	Amputation, Traumatic
N0000182222	C1879526	M0544342	D058739	Aberrant Crypt Foci
N0000000449	C0003535	M0001570	D001036	Aphakia, Postcataract
N0000181234	C1704299	M0487158	D052476	Hypobetalipoproteinemia, Familial, Apolipoprotein B
N0000003031	C0041306	M0022108	D014379	Tuberculosis, Avian
N0000002975	C0040438	M0021678	D014079	Tooth Eruption, Ectopic
N0000001714	C0022346	M0011822	D007565	Jaundice
N0000000506	C0004161	M0001906	D001265	Athletic Injuries
N0000003785	C0206733	M0027559	D018324	Hemangioma, Capillary
N0000002915	C0039614	M0021200	D013742	Tetanus
N0000001669	C0021070	M0011164	D007160	Immunoproliferative Disorders
N0000181241	C1721005	M0494325	D053529	Leukokeratosis, Hereditary Mucosal
N0000002088	C0027070	M0014348	D009208	Myoepithelioma
N0000001254	C0016085	M0008468	D005368	Filariasis
N0000003481	C0024535	M0025570	D016778	Malaria, Falciparum
N0000171664	C0272414	M0477931	D050805	Wandering Spleen
N0000003825	C0086439	M0027712	D018476	Hypokinesia
N0000001563	C1253936	M0010682	D006833	Hydrarthrosis
N0000004138	C0154743	M0328655	D020424	Ulnar Neuropathies
N0000000551	C0005424	M0002491	D001660	Biliary Tract Diseases
N0000001159	C0014852	M0007747	D004935	Esophageal Diseases
N0000001355	C0017672	M0009306	D005926	Glossalgia
N0000004051	C0751814	M0328349	D020214	Cerebrovascular Trauma
N0000000682	C0007140	M0003446	D002296	Carcinosarcoma
N0000002183	C0027960	M0014786	D009506	Nevus
N0000000807	C0009324	M0004771	D003093	Colitis, Ulcerative
N0000000600	C0428977	M0002863	D001919	Bradycardia
N0000002929	C0040015	M0021418	D013915	Thrombasthenia
N0000003352	C0035319	M0024320	D015882	Retinal Necrosis Syndrome, Acute
N0000002035	C0026635	M0014129	D009058	Mouth Breathing
N0000003740	C0206693	M0027507	D018276	Carcinoma, Medullary
N0000003865	C0282488	M0028208	D018856	Cystitis, Interstitial
N0000001380	C0018081	M0009553	D006069	Gonorrhea
N0000003669	C0001442	M0027424	D018195	Adenosarcoma
N0000002793	C0037928	M0020311	D013118	Spinal Cord Diseases
N0000181014	C0004245	M0009943	D054537	Atrioventricular Block
N0000002638	C0035466	M0019024	D012224	Rhinophyma
N0000182225	C2745948	M0539002	D057770	Hyalinosis, Systemic
N0000002322	C0030521	M0015932	D010282	Parathyroid Neoplasms
N0000003117	C0042485	M0022591	D014689	Venous Insufficiency
N0000000935	C0011436	M0005958	D003811	Dentinogenesis Imperfecta
N0000003697	C0206647	M0027452	D018223	Dermatofibrosarcoma
N0000003894	C0175694	M0028480	D019082	Smith-Lemli-Opitz Syndrome
N0000001105	C0014324	M0007460	D004749	Entamoebiasis
N0000183366	C0024902	M0549715	D059373	Mastodynia
N0000011063	C0268275	M0335225	D049290	Tay-Sachs Disease, AB Variant
N0000000822	C0009440	M0004862	D003137	Common Bile Duct Diseases
N0000002405	C0031946	M0016879	D010874	Pinta
N0000000328	C0001627	M0000487	D000312	Adrenal Hyperplasia, Congenital
N0000003508	C0085433	M0025743	D016916	Joint Deformities, Acquired
N0000000360	C0002173	M0000761	D000507	Mucinosis, Follicular
N0000001438	C0018813	M0009962	D006341	Heart Rupture
N0000182211	C1262206	M0544383	D058745	Iliotibial Band Syndrome
N0000189379	C2985290	M0576510	D063647	Fetal Alcohol Spectrum Disorders
N0000181171	C0742343	M0527942	D056586	Acute Chest Syndrome
N0000003533	C0162550	M0025992	D017109	Akathisia, Drug-Induced
N0000002308	C0206613	M0015891	D010253	Respirovirus Infections
N0000185632	C3494473	M0572585	D063371	Myringosclerosis
N0000003359	C0080179	M0024595	D016103	Spinal Fractures
N0000001616	C0020538	M0010859	D006973	Hypertension
N0000001034	C0013423	M0006936	D004422	Dystonia Musculorum Deformans
N0000001423	C0018779	M0009930	D006315	Hearing Loss, Functional
N0000000897	C0010823	M0005604	D003586	Cytomegalovirus Infections
N0000000433	C0003463	M0001529	D001005	Anus Neoplasms
N0000181107	C0269852	M0523371	D055949	Vasa Previa
N0000000293	C0001197	M0000257	D000169	Acrodermatitis
N0000003384	C0079680	M0024697	D016180	Lentivirus Infections
N0000002310	C0030470	M0015893	D010255	Paranasal Sinus Neoplasms
N0000000490	C0003962	M0001791	D001201	Ascites
N0000002319	C0030499	M0015919	D010272	Parasitic Diseases
N0000000677	C0007133	M0003441	D002291	Carcinoma, Papillary
N0000002968	C0040422	M0021664	D014067	Tonsillar Neoplasms
N0000000563	C0005694	M0002634	D001748	Urinary Bladder Neck Obstruction
N0000001388	C0018196	M0009610	D006102	Granuloma, Laryngeal
N0000002594	C0035127	M0018794	D012090	Cumulative Trauma Disorders
N0000003294	C0019618	M0023956	D015614	Histiocytosis
N0000003630	C0206172	M0026785	D017719	Diabetic Foot
N0000002464	C0032708	M0017334	D011164	Porphyrias
N0000002870	C0039007	M0020934	D013554	Swine Erysipelas
N0000003799	C0206750	M0027585	D018352	Coronavirus Infections
N0000001137	C0014661	M0007620	D004859	Equine Infectious Anemia
N0000003346	C0042167	M0024294	D015866	Uveitis, Posterior
N0000003278	C0035091	M0023861	D015499	Renal Tubular Transport, Inborn Errors
N0000003419	C0079487	M0025165	D016481	Helicobacter Infections
N0000001191	C0015458	M0008116	D005150	Facial Hemiatrophy
N0000002004	C0025517	M0013493	D008659	Metabolic Diseases
N0000003742	C0206695	M0027509	D018278	Carcinoma, Neuroendocrine
N0000003139	C0042928	M0022824	D014826	Vocal Cord Paralysis
N0000004008	C0272375	M0029883	D020152	Antithrombin III Deficiency
N0000181149	C0451641	M0022363	D052878	Urolithiasis
N0000001037	C0013449	M0006942	D004428	Ear Neoplasms
N0000000580	C0005866	M0002737	D001819	Bluetongue
N0000181276	C2350350	M0517460	D055397	Ventilator-Induced Lung Injury
N0000004041	C0751803	M0328178	D020203	Brain Stem Hemorrhage, Traumatic
N0000000463	C0003742	M0001671	D001112	Arcus Senilis
N0000001476	C0019061	M0010145	D006463	Hemolytic-Uremic Syndrome
N0000002678	C0029463	M0019439	D012516	Osteosarcoma
N0000181285	C2717758	M0523468	D055956	Diffuse Neurofibrillary Tangles with Calcification
N0000002025	C0026414	M0014019	D008989	Monieziasis
N0000181150	C0458224	M0523531	D055958	Piriformis Muscle Syndrome
N0000181165	C0596170	M0533368	D056912	Binge-Eating Disorder
N0000002630	C0035439	M0019010	D012214	Rheumatic Heart Disease
N0000004209	C0752235	M0328119	D020852	Lyme Neuroborreliosis
N0000001270	C0016470	M0008686	D005512	Food Hypersensitivity
N0000001184	C0015408	M0008091	D005131	Eye Injuries
N0000011089	C0342853	M0384694	D029461	Sialic Acid Storage Disease
N0000004207	C0033790	M0328276	D020828	Pseudobulbar Palsy
N0000000367	C0002452	M0000886	D000567	Amelogenesis Imperfecta
N0000003718	C0206666	M0027474	D018245	Trophoblastic Tumor, Placental Site
N0000003328	C0000880	M0024241	D015823	Acanthamoeba Keratitis
N0000002161	C0027794	M0014686	D009436	Neural Tube Defects
N0000003030	C0041296	M0022106	D014376	Tuberculosis
N0000001468	C0018994	M0010097	D006431	Hemobilia
N0000003577	C0162818	M0026467	D017444	Skin Diseases, Papulosquamous
N0000002301	C0030424	M0015871	D010237	Paragonimiasis
N0000001168	C0238117	M0007946	D005058	Eunuchism
N0000182195	C0405469	M0545266	D058890	Granulomatous Mastitis
N0000189364	C0159877	M0579710	D064386	Ankle Fractures
N0000002422	C0032229	M0017044	D010997	Pleural Neoplasms
N0000004049	C0238015	M0328142	D020211	Autonomic Dysreflexia
N0000003870	C0033036	M0028235	D018880	Atrial Premature Complexes
N0000001097	C0014121	M0007393	D004697	Endocarditis, Bacterial
N0000000470	C0003813	M0001716	D001146	Arrhythmia, Sinus
N0000002257	C0029445	M0015546	D010020	Osteonecrosis
N0000002065	C0026850	M0014254	D009136	Muscular Dystrophies
N0000003335	C0028850	M0024250	D015835	Ocular Motility Disorders
N0000001720	C0022363	M0011829	D007572	Jaw Fractures
N0000000653	C0006849	M0003261	D002180	Candidiasis, Oral
N0000002101	C0027152	M0014385	D009234	Myxomatosis, Infectious
N0000003207	C0008384	M0023379	D015217	Cholesterol Ester Storage Disease
N0000001836	C0023524	M0012419	D007968	Leukoencephalopathy, Progressive Multifocal
N0000004190	C0752168	M0328643	D020792	Salivary Calculi
N0000002624	C0035400	M0018992	D012202	Reye Syndrome
N0000183387	C0221392	M0549100	D059268	Atrophic Vaginitis
N0000001498	C0019156	M0010204	D006504	Hepatic Veno-Occlusive Disease
N0000004222	C0752299	M0328304	D020922	Sleep-Wake Transition Disorders
N0000001348	C0017638	M0009271	D005910	Glioma
N0000000933	C0011432	M0005954	D003807	Dentin Sensitivity
N0000002375	C0031117	M0016347	D010523	Peripheral Nervous System Diseases
N0000171639	C0751188	M0336385	D051299	Post-Dural Puncture Headache
N0000002096	C0027125	M0014371	D009222	Myotonia
N0000003611	C0206083	M0026656	D017590	Myelinolysis, Central Pontine
